target_id	length	eff_length	est_counts	tpm
Y74C9A.6	163	37.7972	12	7.89077
Y74C9A.3.2	892	679.882	1471.27	53.7843
Y74C9A.3.1	967	754.845	17.734	0.583911
Y74C9A.2a.1	714	502.379	3265.97	161.576
Y74C9A.2a.2	685	473.528	2653.03	139.25
Y74C9A.2b.1	171	41.8622	0	0
Y74C9A.4a.1	2117	1904.84	747.072	9.74766
Y74C9A.4a.2	2118	1905.84	1959.63	25.5555
Y74C9A.4b.2	2128	1915.84	1421.3	18.4384
Y74C9A.4b.1	2122	1909.84	1.02801e-05	1.33781e-07
Y74C9A.4d.1	825	612.949	0	0
Y74C9A.4c.1	1602	1389.84	1.08612e-06	1.94226e-08
Y74C9A.9	719	507.354	175.348	8.58988
Y74C9A.5.2	2290	2077.84	158.473	1.89557
Y74C9A.5.1	2180	1967.84	745.527	9.41607
Y74C9A.7	21	11.875	0	0
Y74C9A.8	21	11.875	0	0
Y74C9A.1.1	732	520.354	12	0.573166
Y48G1C.12.1	1106	893.845	1237	34.3958
Y48G1C.4a.1	1407	1194.84	1340	27.8735
Y48G1C.4b.1	942	729.845	0	0
Y48G1C.5.1	3575	3362.84	59	0.436056
Y48G1C.2b.1	1875	1662.84	747.34	11.1703
Y48G1C.2a.1	2602	2389.84	7.49663e-08	7.79639e-10
Y48G1C.2a.2	2453	2240.84	2184.66	24.2309
Y48G1C.2c.1	132	24.2363	0	0
Y48G1C.10a.1	3621	3408.84	2021.49	14.7388
Y48G1C.10b.1	2440	2227.84	25.2787	0.282011
Y48G1C.10a.2	3611	3398.84	0.00102205	7.47375e-06
Y48G1C.6.1	1741	1528.84	121.868	1.98119
Y48G1C.10c.1	294	120.394	0	0
Y48G1C.9.2	2363	2150.84	842.648	9.73721
Y48G1C.9.1	2339	2126.84	0	0
Y48G1C.1.1	1605	1392.84	904.713	16.1438
Y48G1C.1.2	1521	1308.84	0	0
Y48G1C.13.1	376	185.06	185	24.8461
