ens_gene,BRC20067,CB4856,DL238,N2
WBGene00000005,0,1,0,1
WBGene00000015,0,1,0,1
WBGene00000019,0,1,0,1
WBGene00000023,0,0,1,1
WBGene00000024,0,1,0,1
WBGene00000027,0,1,0,1
WBGene00000029,0,1,0,1
WBGene00000030,0,1,0,1
WBGene00000031,0,1,0,1
WBGene00000033,0,1,0,1
WBGene00000034,0,1,0,1
WBGene00000039,0,1,0,1
WBGene00000055,0,1,1,2
WBGene00000056,1,0,0,1
WBGene00000059,1,0,0,1
WBGene00000082,0,1,0,1
WBGene00000114,0,0,1,1
WBGene00000133,0,1,1,2
WBGene00000135,1,1,1,3
WBGene00000139,1,1,1,3
WBGene00000157,0,0,1,1
WBGene00000171,0,0,1,1
WBGene00000172,0,0,1,1
WBGene00000190,0,0,1,1
WBGene00000248,1,0,0,1
WBGene00000251,0,1,0,1
WBGene00000369,1,0,0,1
WBGene00000389,0,0,1,1
WBGene00000395,1,0,0,1
WBGene00000396,1,0,0,1
WBGene00000399,0,1,1,2
WBGene00000402,0,1,1,2
WBGene00000425,1,0,0,1
WBGene00000430,0,1,0,1
WBGene00000439,1,1,1,3
WBGene00000454,0,0,1,1
WBGene00000457,0,0,1,1
WBGene00000463,1,1,1,3
WBGene00000468,0,1,0,1
WBGene00000488,0,0,1,1
WBGene00000503,1,0,1,2
WBGene00000512,1,0,0,1
WBGene00000516,1,1,0,2
WBGene00000522,0,1,0,1
WBGene00000524,0,1,1,2
WBGene00000535,1,0,0,1
WBGene00000541,0,1,1,2
WBGene00000544,1,1,1,3
WBGene00000546,0,1,0,1
WBGene00000549,1,0,0,1
WBGene00000556,0,0,1,1
WBGene00000557,0,0,1,1
WBGene00000561,0,1,1,2
WBGene00000593,0,1,0,1
WBGene00000599,0,1,1,2
WBGene00000603,0,1,1,2
WBGene00000606,0,1,0,1
WBGene00000610,0,1,0,1
WBGene00000612,1,1,1,3
WBGene00000613,0,1,1,2
WBGene00000614,0,1,0,1
WBGene00000617,0,1,0,1
WBGene00000618,0,1,1,2
WBGene00000620,0,1,0,1
WBGene00000621,0,1,0,1
WBGene00000622,1,1,0,2
WBGene00000623,0,1,1,2
WBGene00000627,0,1,0,1
WBGene00000628,0,1,0,1
WBGene00000631,0,1,0,1
WBGene00000646,0,1,1,2
WBGene00000648,0,1,0,1
WBGene00000659,1,1,1,3
WBGene00000660,0,1,0,1
WBGene00000664,0,1,1,2
WBGene00000665,0,1,1,2
WBGene00000669,1,0,0,1
WBGene00000670,0,0,1,1
WBGene00000671,0,0,1,1
WBGene00000672,0,1,1,2
WBGene00000675,1,1,1,3
WBGene00000678,0,1,1,2
WBGene00000682,0,1,0,1
WBGene00000683,0,1,0,1
WBGene00000687,0,1,1,2
WBGene00000688,1,1,1,3
WBGene00000690,0,1,0,1
WBGene00000691,0,0,1,1
WBGene00000695,0,1,0,1
WBGene00000697,0,1,0,1
WBGene00000700,0,1,0,1
WBGene00000702,0,1,1,2
WBGene00000708,1,1,1,3
WBGene00000714,0,0,1,1
WBGene00000715,0,1,1,2
WBGene00000716,0,0,1,1
WBGene00000731,1,1,1,3
WBGene00000736,1,0,0,1
WBGene00000737,0,1,1,2
WBGene00000739,0,0,1,1
WBGene00000740,0,1,0,1
WBGene00000746,0,1,0,1
WBGene00000747,0,1,1,2
WBGene00000749,0,1,1,2
WBGene00000751,0,1,0,1
WBGene00000752,0,1,0,1
WBGene00000753,0,1,1,2
WBGene00000756,0,1,0,1
WBGene00000758,1,1,0,2
WBGene00000776,1,0,0,1
WBGene00000778,0,0,1,1
WBGene00000782,0,1,1,2
WBGene00000783,0,1,1,2
WBGene00000784,0,1,1,2
WBGene00000785,1,0,1,2
WBGene00000819,0,1,0,1
WBGene00000830,1,1,1,3
WBGene00000831,0,1,0,1
WBGene00000851,0,1,0,1
WBGene00000864,1,0,0,1
WBGene00000870,1,0,1,2
WBGene00000893,0,1,1,2
WBGene00000905,0,1,0,1
WBGene00000930,0,1,0,1
WBGene00000969,1,0,0,1
WBGene00000972,1,0,0,1
WBGene00000977,0,0,1,1
WBGene00000979,0,0,1,1
WBGene00000981,1,0,0,1
WBGene00000988,1,0,1,2
WBGene00000989,1,0,0,1
WBGene00000990,0,1,0,1
WBGene00000991,1,0,0,1
WBGene00001055,0,1,0,1
WBGene00001059,0,1,0,1
WBGene00001065,0,0,1,1
WBGene00001068,0,1,1,2
WBGene00001070,0,1,0,1
WBGene00001071,0,1,1,2
WBGene00001079,0,1,0,1
WBGene00001103,0,0,1,1
WBGene00001105,0,1,1,2
WBGene00001108,1,1,0,2
WBGene00001119,1,0,1,2
WBGene00001157,1,0,0,1
WBGene00001210,0,1,0,1
WBGene00001240,1,0,0,1
WBGene00001242,0,1,1,2
